"Source:","/Users/m1m1024/Desktop/bme290/oneShotBlinking/oneShotBlinking.kicad_sch"
"Date:","Thursday, February 09, 2023 at 03:07:42 PM"
"Tool:","Eeschema (6.0.10-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","39"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"BT101, ","1","6V","Battery","","Multiple-cell battery",""
"C101, C102, C204, ","3","10u","C","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Unpolarized capacitor",""
"C201, ","1","100n","C","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Unpolarized capacitor",""
"C202, C203, ","2","0.01u","C","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Unpolarized capacitor",""
"C205, ","1","1u","C","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","Unpolarized capacitor",""
"D101, ","1","RevPol_PwrStatus","LED_Filled","LED_THT:LED_D5.0mm","Light emitting diode, filled shape",""
"D102, D103, ","2","LED_Filled","LED_Filled","","Light emitting diode, filled shape",""
"H101, H102, H103, H104, ","4","MountingHole","MountingHole","MountingHole:MountingHole_3.2mm_M3","Mounting Hole without connection",""
"J101, ","1","Push Button","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J102, J105, ","2","LED","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J103, ","1","Power Switch","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J104, ","1","BATT","Conn_01x02_Female","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R101, R102, ","2","1k","R_Small_US","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Resistor, small US symbol",""
"R200, ","1","455k","R_Small_US","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Resistor, small US symbol",""
"R202, ","1","42.2k","R_Small_US","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Resistor, small US symbol",""
"R203, ","1","10k","R_Small_US","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Resistor, small US symbol",""
"R204, ","1","100k","R_Small_US","Resistor_THT:R_Radial_Power_L16.1mm_W9.0mm_P7.37mm","Resistor, small US symbol",""
"RV200, RV201, ","2","0-100k","R_Potentiometer_US","Potentiometer_THT:Potentiometer_ACP_CA9-V10_Vertical","Potentiometer, US symbol",""
"SW101, ","1","SW_SPST","SW_SPST","","Single Pole Single Throw (SPST) switch",""
"SW102, ","1","LED","SW_Push","","Push button switch, generic, two pins",""
"TP101, ","1","VCC","TestPoint_Probe","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative probe-style design)",""
"TP102, ","1","AstableOut","TestPoint_Probe","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative probe-style design)",""
"TP103, ","1","MonoOut","TestPoint_Probe","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative probe-style design)",""
"TP104, ","1","LightOut","TestPoint_Probe","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative probe-style design)",""
"TP105, ","1","GND","TestPoint_Probe","TestPoint:TestPoint_Pad_D4.0mm","test point (alternative probe-style design)",""
"U101, ","1","LM7805_TO220","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","Positive 1A 35V Linear Regulator, Fixed Output 5V, TO-220",""
"U102, ","1","4081","4081","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Quad And 2 inputs",""
"U103, ","1","74LS04","74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Hex Inverter",""
"U201, ","1","LM556","LM556","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","Dual Timer, DIP-14/SOIC-14",""
